target,date,point,lower_80,upper_80,lower_95,upper_95
NetExports,2026-04-01,-892.4320000000002,-970.4452258127603,-814.4187741872402,-1011.7429329516708,-773.1210670483297
NetExports,2026-07-01,-892.4320000000002,-1002.7593619888804,-782.1046380111201,-1061.1631395196398,-723.7008604803607
NetExports,2026-10-01,-892.4320000000002,-1027.5548707700445,-757.3091292299558,-1099.0845977707374,-685.779402229263
NetExports,2027-01-01,-892.4320000000002,-1048.4584516255204,-736.40554837448,-1131.0538659033414,-653.8101340966591
NetExports,2027-04-01,-892.4320000000002,-1066.8748760613732,-717.9891239386272,-1159.2193565388552,-625.6446434611453
NetExports,2027-07-01,-892.4320000000002,-1083.524596429784,-701.3394035702164,-1184.6829064670087,-600.1810935329918
NetExports,2027-10-01,-892.4320000000002,-1098.8355944744883,-686.0284055255122,-1208.099057281222,-576.7649427187785
NetExports,2028-01-01,-892.4320000000002,-1113.0867239777606,-671.7772760222399,-1229.8942790392794,-554.9697209607211
RealGDP,2026-04-01,24269.902781272525,24004.465289169842,24535.34027337521,23863.951168668616,24675.854393876434
RealGDP,2026-07-01,24368.115316669777,24029.037841272093,24707.19279206746,23849.541068378945,24886.68956496061
RealGDP,2026-10-01,24466.32785206703,24066.96585283529,24865.68985129877,23855.55638072518,25077.09932340888
RealGDP,2027-01-01,24564.540387464283,24112.869624032912,25016.211150895655,23873.769564817747,25255.31121011082
RealGDP,2027-04-01,24662.75292286154,24164.232160358126,25161.27368536495,23900.331209743097,25425.17463597998
RealGDP,2027-07-01,24760.96545825879,24219.634300135327,25302.296616382253,23933.070895014684,25588.860021502896
RealGDP,2027-10-01,24859.17799365604,24278.182387077475,25440.173600234608,23970.621891283303,25747.73409602878
RealGDP,2028-01-01,24957.390529053293,24339.270502705738,25575.510555400848,24012.057526202698,25902.72353190389
OilWTI,2026-04-01,78.42544734812492,67.57210452721384,89.278790169036,61.82669189202873,95.02420280422112
OilWTI,2026-07-01,77.02359357212447,59.81787283391297,94.22931431033597,50.70971445746093,103.337472686788
OilWTI,2026-10-01,76.09861161901898,55.62517175584371,96.57205148219425,44.78718736554546,107.4100358724925
OilWTI,2027-01-01,75.48828290412841,52.87222785979198,98.10433794846485,40.90001150637313,110.07655430188369
OilWTI,2027-04-01,75.08557111178548,50.879979239064916,99.29116298450606,38.06631291685907,112.1048293067119
OilWTI,2027-07-01,74.8198507159802,49.332990414182525,100.30671101777787,35.84106155637334,113.79863987558704
OilWTI,2027-10-01,74.64452103830641,48.062343918170484,101.22669815844233,33.99058936136222,115.29845271525059
OilWTI,2028-01-01,74.5288336603013,46.97044497699481,102.08722234360779,32.38191523467896,116.67575208592365
