target,model,term,estimate,std_error,z,p_value
NetExports,"ARIMA(0,1,0)",aic,1593.9906738861125,NA,NA,NA
NetExports,"ARIMA(0,1,0)",bic,1596.9604871856884,NA,NA,NA
NetExports,"ARIMA(0,1,0)",sigma_sq,3705.649178148902,NA,NA,NA
NetExports,"ARIMA(0,1,0)",log_likelihood,-795.9953369430563,NA,NA,NA
NetExports,"ARIMA(0,1,0)",n_obs,144,NA,NA,NA
RealGDP,"ARIMA(0,1,1) with drift",ma1,-0.20512634272332048,0.08696763221833825,-2.3586515752014106,0.018341467676347964
RealGDP,"ARIMA(0,1,1) with drift",drift,98.21253539725289,13.64859409167904,7.195798683552971,6.209619286431592e-13
RealGDP,"ARIMA(0,1,1) with drift",aic,1948.6735941343488,NA,NA,NA
RealGDP,"ARIMA(0,1,1) with drift",bic,1957.5830340330767,NA,NA,NA
RealGDP,"ARIMA(0,1,1) with drift",sigma_sq,42899.51278091146,NA,NA,NA
RealGDP,"ARIMA(0,1,1) with drift",log_likelihood,-971.3367970671744,NA,NA,NA
RealGDP,"ARIMA(0,1,1) with drift",n_obs,144,NA,NA,NA
